N°,Cédula,Nombres y Apellidos,Sem 1 (20%),Sem 2 (20%),Sem 3 (10%),Sem 4 (20%),Sem 5 (10%),Sem 6 (20%),Sem 7 (10%),Sem 8 (20%),Total Acumulado,Observaciones
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
